trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01871859998209402,0.03589800000190735,0.03589800000190735,1.954245999979321,left,1.9167358999839053,None,,,,,,devJG,01,01,2024-07-16_17h08.13.963,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h08.17.047925 -0400,
0,0,0,0,1.9731706000166014,,,,,,,,,1.9545328000094742,1.9731706000166014,4.956484399968758,6.9587410999811254,"    timestamp  speed  distance direction
0    1.954616   -0.0       0.0         0
1    1.974357    0.0       0.0         0
2    1.991009    0.0       0.0         0
3    2.004410    0.0       0.0         0
4    2.022144    0.0       0.0         0
..        ...    ...       ...       ...
63   6.541613    0.0       0.0         0
64   6.642966    0.0       0.0         0
65   6.741812    0.0       0.0         0
66   6.842144    0.0       0.0         0
67   6.942172    0.0       0.0         0

[68 rows x 4 columns]",devJG,01,01,2024-07-16_17h08.13.963,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h08.17.047925 -0400,
1,0,1,0,6.973599599965382,,,,,,,,,6.958912700007204,6.973599599965382,9.960726200020872,11.964954899973236,"     timestamp  speed  distance direction
0     1.954616   -0.0       0.0         0
1     1.974357    0.0       0.0         0
2     1.991009    0.0       0.0         0
3     2.004410    0.0       0.0         0
4     2.022144    0.0       0.0         0
..         ...    ...       ...       ...
112  11.464985    0.0       0.0         0
113  11.563877    0.0       0.0         0
114  11.662941    0.0       0.0         0
115  11.762433    0.0       0.0         0
116  11.864817    0.0       0.0         0

[117 rows x 4 columns]",devJG,01,01,2024-07-16_17h08.13.963,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h08.17.047925 -0400,
2,0,2,0,11.978059499990195,,,,,,,,,11.965277299983427,11.978059499990195,14.964590599993244,16.96923119999701,"     timestamp     speed  distance direction
0     1.954616 -0.000000  0.000000         0
1     1.974357  0.000000  0.000000         0
2     1.991009  0.000000  0.000000         0
3     2.004410  0.000000  0.000000         0
4     2.022144  0.000000  0.000000         0
..         ...       ...       ...       ...
162  16.483357  0.031378 -6.618723         1
163  16.583365  0.263875 -6.592333         1
164  16.683635  0.181721 -6.574112         1
165  16.783465  0.547574 -6.519448         1
166  16.886956  0.109282 -6.508139         1

[167 rows x 4 columns]",devJG,01,01,2024-07-16_17h08.13.963,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 17h08.17.047925 -0400,
